,Total reported direct emissions from Local Distribution Companies,Nitrous Oxide (N2O) emissions ,Methane (CH4) emissions ,CO2 emissions (non-biogenic) ,Does the facility employ continuous emissions monitoring? ,Reported County,Reported State,County_Emissions,County,State,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino
139,12087.85,,12073.25,14.6,N,MOBILE COUNTY,AL,MOBILE COUNTY,BARRY COUNTY,MI,0.6,0.5,0.7,3.1,0.0,1.6,96.6,93.8
140,3062.85,,3059.25,3.6,N,FORREST COUNTY,MS,FORREST COUNTY,BARRY COUNTY,MO,1.3,2.4,0.7,9.9,0.2,2.0,93.4,84.5
141,79336.65,,79220.75,115.9,N,ST. LOUIS CITY,MO,ST. LOUIS CITY,BARTHOLOMEW COUNTY,IN,0.5,8.5,2.4,7.2,0.1,1.7,86.9,80.5
142,53079.85,,53015.75,64.1,N,JACKSON COUNTY,MO,JACKSON COUNTY,BARTON COUNTY,KS,1.0,0.3,1.9,15.3,0.1,1.8,94.9,81.0
143,81794.5,,81696.0,98.5,N,HARRIS COUNTY,CO,HARRIS COUNTY,BARTON COUNTY,MO,1.6,0.6,0.6,2.9,0.1,2.7,94.5,92.4
144,14018.9,,14002.0,16.9,N,HARRIS COUNTY,CO,HARRIS COUNTY,BARTOW COUNTY,GA,0.6,1.0,11.3,9.2,0.1,2.1,84.9,76.9
145,62741.196,0.596,61386.5,1354.1,N,HILLSBOROUGH COUNTY,FL,HILLSBOROUGH COUNTY,BASTROP COUNTY,TX,2.0,0.9,7.3,39.7,0.1,2.1,87.5,51.1
146,190925.88,2.98,186604.5,4318.4,N,KINGS COUNTY,NY,KINGS COUNTY,BATES COUNTY,MO,0.9,0.3,1.3,2.3,0.1,1.9,95.6,93.8
147,133351.0,,133190.5,160.5,N,PROVIDENCE COUNTY,RI,PROVIDENCE COUNTY,BATH COUNTY,KY,0.3,0.4,1.4,1.7,0.1,1.6,96.3,94.8
148,119995.75,,119851.25,144.5,N,TRAVIS COUNTY,TX,TRAVIS COUNTY,BATH COUNTY,VA,0.2,0.5,4.8,2.2,-1.0,1.5,92.9,91.1
149,162831.386,2.086,158661.0,4168.3,N,COOK COUNTY,IL,COOK COUNTY,BAXTER COUNTY,AR,0.8,0.5,0.5,2.6,0.1,1.6,96.5,94.3
150,2210.95,,2208.25,2.7,N,JEFFERSON COUNTY,AL,JEFFERSON COUNTY,BAY COUNTY,FL,0.8,2.3,11.3,6.7,0.2,3.2,82.2,76.6
151,136750.1,,136585.5,164.6,N,,PA,,BAY COUNTY,MI,0.6,0.6,1.8,5.5,0.0,2.3,94.6,89.8
152,15049.2,,15031.0,18.2,N,COCONINO COUNTY,AZ,COCONINO COUNTY,BAYFIELD COUNTY,WI,10.5,0.5,0.6,2.2,0.0,3.0,85.4,84.2
153,41753.55,,41703.25,50.3,N,VANDERBURGH COUNTY,IN,VANDERBURGH COUNTY,BAYLOR COUNTY,TX,0.9,0.5,3.1,14.2,0.1,2.5,93.0,80.4
154,4100.9,,4096.0,4.9,N,CHITTENDEN COUNTY,VT,CHITTENDEN COUNTY,BEADLE COUNTY,SD,1.6,10.1,1.5,10.7,0.4,2.1,84.2,75.2
155,50813.9,,45884.5,4929.4,N,NORFOLK CITY,VA,NORFOLK CITY,BEAR LAKE COUNTY,ID,1.1,0.5,0.4,4.3,0.1,1.4,96.5,93.1
156,69894.45,,69810.25,84.2,N,FAIRFAX COUNTY,VA,FAIRFAX COUNTY,BEAUFORT COUNTY,NC,1.0,0.5,24.8,8.0,0.1,1.6,72.0,65.9
157,56173.35,,56105.75,67.6,N,MILWAUKEE COUNTY,WI,MILWAUKEE COUNTY,BEAUFORT COUNTY,SC,0.4,1.5,17.9,11.1,0.1,1.9,78.2,68.5
158,61520.1,,61446.0,74.1,N,MILWAUKEE COUNTY,WI,MILWAUKEE COUNTY,BEAUREGARD PARISH,LA,1.2,0.7,12.1,3.8,0.1,2.5,83.4,80.5
159,51677.95,,51584.25,93.7,N,FAIRFAX COUNTY,VA,FAIRFAX COUNTY,BEAVER COUNTY,OK,2.5,0.4,1.4,25.9,0.1,3.2,92.5,69.5
160,49393.1,,49320.5,72.6,N,FAIRFAX COUNTY,VA,FAIRFAX COUNTY,BEAVER COUNTY,PA,0.2,0.6,6.5,1.8,0.0,2.2,90.5,89.1
161,31463.65,,31425.75,37.9,N,MIDLAND COUNTY,TX,MIDLAND COUNTY,BEAVER COUNTY,UT,2.1,0.8,0.4,12.4,0.4,2.1,94.3,83.8
162,22191.1,,22028.5,162.6,N,DANE COUNTY,WI,DANE COUNTY,BEAVERHEAD COUNTY,MT,1.9,0.5,0.4,5.5,0.6,2.2,94.4,89.5
163,39715.648,0.298,39270.75,444.6,N,BROWN COUNTY,WI,BROWN COUNTY,BECKER COUNTY,MN,8.1,0.5,0.7,2.3,0.0,3.4,87.2,86.1
164,46409.15,,46353.25,55.9,N,HARTFORD COUNTY,CT,HARTFORD COUNTY,BECKHAM COUNTY,OK,3.7,1.1,4.3,14.7,0.0,3.0,87.9,75.0
